src,alt,title
/gallery/image1.png,Description of image 1,"Partitions (2025)
 Danielle Fretwell
 Oil on canvas. 76.2 x 76.2 cm

 Danielle Fretwell: Tablescapes
 Alice Amati, London
 10 October-8 November 2025"
/gallery/image2.png,Description of image 2,"102 (Face Jug Series) (2018)
Simone Leigh
Salt-fired stoneware
12 1/2 x 7 x 9 inches

Simone Leigh
Institute of Contemporary Arts, Boston
6 April – 4 September 2023"
/gallery/image3.png,Description of image 3,"Study for Bullfight No.2 (1969)
Francis Bacon

Francis Bacon: Man and Beast
Royal Academy, London
29 January – 17 April 2022"
/gallery/image4.png,Description of image 4,"Untitled (Red, Black, White On Yellow) (1955)
Mark Rothko

Mark Rothko
Fondation Louis Vuitton, Paris
10 October 2023 - 01 April 2024"
/gallery/image5.png,Description of image 5,"Detail from
 Souvenir I (1996)
Kerry James Marshall

Kerry James Marshall: The Histories
Royal Academy of Arts, London
20 September 2025 - 18 January 2026"
/gallery/image6.png,Description of image 6,"André Leon Talley and Fran Lebowitz, New York, c.1976
Bob Colacello
Gelatin silver print
5 x 7 inches (12.7 x 17.8 cm)

It Just Happened, Photographs 1976–1982
 Thaddaeus Ropac, Paris
21 January—4 March 2023"
/gallery/image7.png,Description of image 7,"Texas Louise (1971)
Frank Bowling
282 x 665 cm

Frank Bowling's Americas
Museum of Fine Arts, Boston
22 October 2022 - 9 April 2023"
/gallery/image9.png,Description of image 9,"Portrait of W (1951-2)
Grace Hartigan

Action, Gesture, Paint: Women Artists and Global Abstraction 1940–70
Whitechapel Gallery, London
9 February – 7 May 2023"
